kode,kab_kota,n_odr,n_otg,n_odp,n_pdp,n_confirm,n_sembuh,n_meninggal,last_update,lat,long
35.23,KAB. TUBAN,10958,89,479,12,3,0,1,2020-04-15 13:35:19,-6.899108667900085,111.763916015625
35.03,KAB. TRENGGALEK,16257,7,702,12,1,0,0,2020-04-15 13:34:49,"-8,176848","111,610650"
35.07,KAB. MALANG,1426,64,241,96,13,4,1,2020-04-15 13:30:43,-8.2084395,"112,7468452"
35.76,KOTA MOJOKERTO,805,1,199,6,0,0,0,2020-04-15 13:24:17,"-7,4714887","112,4217213"
35.26,KAB. BANGKALAN,14568,220,591,3,4,0,0,2020-04-15 13:23:49,"-7,0234914","112,7519820"
35.21,KAB. NGAWI,17547,17,239,13,0,0,0,2020-04-15 13:22:53,"-7,4324690","111,2547392"
35.72,KOTA BLITAR,1023,13,153,2,1,1,0,2020-04-15 13:20:56,"-8,1031510","112,1626800"
35.29,KAB. SUMENEP,23156,13,262,0,0,0,0,2020-04-15 13:17:14,"-7,0095355","113,8495442"
35.17,KAB. JOMBANG,6920,221,483,4,7,0,0,2020-04-15 13:35:12,"-7,5567779","112,2489964"
35.04,KAB. TULUNGAGUNG,7448,130,923,169,15,1,0,2020-04-15 16:14:41,"-7,7455014","111,8953035"
35.28,KAB. PAMEKASAN,3585,3585,107,2,5,0,1,2020-04-15 13:07:20,"-7,1548002","113,4379637"
35.75,KOTA PASURUAN,726,17,64,3,2,0,1,2020-04-15 13:06:05,"-7,6514338","112,8700750"
35.77,KOTA MADIUN,641,3,51,8,0,0,0,2020-04-15 12:57:08,"-7,6300605","111,4930316"
35.27,KAB. SAMPANG,13337,0,320,0,0,0,0,2020-04-15 12:56:55,"-7,1927155","113,2429293"
35.20,KAB. MAGETAN,269,4,139,19,10,8,1,2020-04-15 13:53:37,"-7,6774309","111,3616371"
35.18,KAB. NGANJUK,20146,373,47,19,9,0,0,2020-04-15 12:55:11,"-7,6150520","111,6670610"
35.16,KAB. MOJOKERTO,5835,0,341,42,1,0,0,2020-04-15 12:45:08,"-7,586911","112,420605"
